abut tuba
agar raga
aide media
ajar raja
allude medulla
amen enema
ammo comma
ammo momma
amoral aroma
animal lamina
anode dona
avid diva
babe kebab
balsa slab
bard drab
barge grab
bats stab
bilge glib
birch crib
boob boob
booboo boob
booby boob
brag garb
breve verb
buns snub
burg grub
burgh grub
cigar tragic
cite mimetic
civic civic
civics civic
crane narc
crank narc
dairy myriad
debar abed
debut tubed
decided iced
deed deed
deem meed
deep speed
deer breed
deer creed
deer greed
deer reed
degas aged
delft fled
deli oiled
deli piled
dell appalled
demo domed
derby bred
dessert stressed
dial laid
dial plaid
diaper prepaid
diaper repaid
diary raid
dimity timid
dirge grid
diva avid
divan avid
doom mood
door brood
door rood
drab bard
draw award
draw sward
draw ward
drawer reward
drawers reward
drawl ward
drawn inward
drawn onward
drawn ward
dray yard
droll lord
drown word
drowse sword
drowsy sword
dual laud
dwell lewd
dwelt lewd
edit noontide
edit tide
egad adage
egress serge
elate tale
elite tile
elope pole
emir crime
emir grime
emir prime
emir rime
emit noontime
emit time
emote tome
enact cane
epoch cope
ergo ogre
ergot ogre
eruct cure
erupt pure
ever breve
evil alive
evil live
evil olive
face decaf
fire serif
flack calf
flesh self
flog golf
flow wolf
flown wolf
fool aloof
fresh serf
garb brag
girt trig
girth trig
gnarl rang
gnash sang
gnat tang
gnaw twang
golf flog
gorge grog
grebe berg
grub burg
gulp plug
gums smug
hoop pooh
hoops pooh
kayak kayak
keel leek
keel sleek
keep peek
knife fink
knish sink
knit stink
knock conk
know wonk
known wonk
kook kook
kooky kook
lace cecal
lace decal
lace fecal
lade medal
lade pedal
lager regal
laid dial
lair trial
lamina animal
laminae animal
laminar animal
lanai anal
lane penal
lane renal
lane venal
late fetal
late metal
late petal
laud dual
lava naval
leek keel
leer creel
leer reel
leery reel
leper repel
level level
lever revel
liar frail
liar rail
liar trail
lire peril
live devil
live evil
liven evil
liver evil
lives evil
llama mall
loop pool
loop spool
loopy pool
loot stool
loot tool
looter retool
lorn enrol
lyre beryl
ma'am ma'am
madam madam
madame madam
march cram
mart tram
martini tram
media idem
medic idem
meed deem
meet teem
miler prelim
mine denim
mini minim
minim minim
minima minim
mirth trim
mood doom
moody doom
moor broom
moor groom
moor room
morph prom
motto bottom
mule velum
mural arum
muss opossum
ne'er e'en
never even
nevi given
nevi liven
nevi riven
niter cretin
noise lesion
none tenon
none xenon
noon noon
noose soon
nose meson
nuts stun
ogre ergo
ogress ergo
orate taro
otter amaretto
pace recap
pacer recap
palsy slap
pansy snap
parch crap
part strap
part trap
parterre trap
partner entrap
party trap
peek keep
peel bleep
peel sleep
peep peep
peer creep
peeve veep
peewee weep
pert strep
plug gulp
pooch coop
pooh hoop
pooh whoop
pool bloop
pool loop
pool sloop
poop poop
poor droop
poor troop
porch crop
port strop
prate tarp
prawn warp
pullup pullup
purism sirup
purist sirup
radar radar
raga agar
rail liar
raja ajar
rajah ajar
rats star
rattan attar
rebut tuber
recap pacer
recap spacer
redivide divider
redness sender
redo coder
redraw warder
redrawn warder
reed deer
reedy deer
reel leer
reeve veer
refer prefer
refer refer
referee refer
referrer refer
refile lifer
refill lifer
regal lager
regale lager
relive reviler
remit timer
renal planer
rennin inner
repack caper
repaid diaper
repel leper
report roper
resale laser
resold loser
resole loser
retard rater
retarded rater
retina niter
retool looter
retrace carter
retract carter
retro porter
retro sorter
retsina banister
retsina canister
revel clever
revel ever
revel lever
revile deliver
revile liver
revolt lover
reward drawer
rewed ewer
reword rower
rework rower
rime emir
roman enamor
rood door
room moor
roomette moor
rooms moor
roomy moor
rotary gyrator
rotor rotor
sage degas
sail alias
salad alas
salt atlas
semi times
senile lines
sera wares
sine penis
sitar gratis
smug gums
sneer greens
snipe ninepins
snub buns
spar craps
spar traps
spat taps
spate taps
spin snips
spoof oops
spook oops
spool oops
spoon oops
spoor oops
spoor troops
spot tops
stab bats
star rats
stare rats
stark rats
stars rats
start rats
stat stats
stats stats
stir grits
stole lots
strap arts
straw arts
stray arts
strop sports
stun nuts
stung nuts
stunk nuts
stunt nuts
supra carpus
sway yaws
talc eclat
tang gnat
tango gnat
tangy gnat
taps spat
tardy drat
tarp sprat
teem meet
tenet tenet
tide edit
time emit
time remit
timer emit
timer remit
times emit
tipsy spit
tire merit
toga fagot
tole helot
toll allot
tool loot
toot toot
tooth toot
tops spot
tort trot
torte trot
trace cart
track cart
tract cart
trade dart
tram mart
tram smart
tramp mart
trap apart
trap part
trapeze part
traps part
trawl wart
tress assert
trig girt
trope deport
trope port
trope report
trot tort
troth tort
trots tort
trow wort
truce curt
truck curt
tuba abut
tubal abut
tube debut
tube rebut
tubed debut
tuber rebut
tut-tut tut-tut
ward draw
warder redraw
wart straw
waster fretsaw
welch clew
welsh slew
wolf flow
wonk know
wort trow
worth trow
yard dray
yaws sway
yell alley
